,frame,xmin,xmax,ymin,ymax,score
0,CTRL_group3_4.png,256,317,313,319,0.02734375
1,CTRL_group3_4.png,257,319,300,319,0.015625
2,CTRL_group3_4.png,1,35,17,77,0.015625
3,CTRL_group3_4.png,288,319,311,320,0.015625
4,CTRL_group3_4.png,245,315,310,320,0.015625
5,CTRL_group3_4.png,307,314,283,323,0.015625
6,CTRL_group3_4.png,295,314,301,318,0.015625
7,CTRL_group3_4.png,36,300,0,301,0.015625
8,CTRL_group3_4.png,4,185,-6,320,0.01171875
9,CTRL_group3_4.png,250,297,305,318,0.01171875
10,CTRL_group3_4.png,234,298,314,319,0.01171875
11,CTRL_group3_4.png,21,229,130,281,0.01171875
12,CTRL_group3_4.png,0,36,26,116,0.01171875
13,CTRL_group3_4.png,3,69,315,319,0.01171875
14,CTRL_group3_4.png,0,88,35,284,0.01171875
15,CTRL_group3_4.png,171,309,20,225,0.01171875
16,CTRL_group3_4.png,309,314,261,320,0.01171875
17,CTRL_group3_4.png,56,316,3,97,0.01171875
18,CTRL_group6_3.png,1,63,26,53,0.0390625
19,CTRL_group6_3.png,246,330,20,61,0.0234375
20,CTRL_group6_3.png,101,223,217,322,0.01953125
21,CTRL_group6_3.png,291,334,326,334,0.015625
22,CTRL_group6_3.png,307,330,314,334,0.015625
23,CTRL_group6_3.png,2,58,113,261,0.015625
24,CTRL_group6_3.png,1,49,8,51,0.015625
25,CTRL_group6_3.png,309,330,143,240,0.015625
26,CTRL_group6_3.png,0,25,310,334,0.01171875
27,CTRL_group6_3.png,1,69,14,66,0.01171875
28,CTRL_group6_3.png,324,329,171,252,0.01171875
29,CTRL_group6_3.png,17,190,295,337,0.01171875
30,CTRL_group6_3.png,286,332,315,335,0.01171875
31,CTRL_group6_3.png,2,59,328,334,0.01171875
32,CTRL_group6_3.png,-1,28,328,337,0.01171875
33,CTRL_group6_3.png,7,106,294,333,0.01171875
34,CTRL_group6_3.png,262,325,329,334,0.01171875
35,CTRL_group6_3.png,292,334,141,293,0.01171875
36,CTRL_group1_1.png,0,98,50,281,0.01953125
37,CTRL_group1_1.png,8,293,127,316,0.015625
38,CTRL_group1_1.png,0,14,305,321,0.01171875
39,CTRL_group1_1.png,279,324,314,321,0.01171875
40,CTRL_group1_1.png,0,219,29,329,0.01171875
41,CTRL_group1_1.png,260,314,315,321,0.01171875
42,CTRL_group1_1.png,0,10,292,317,0.01171875
43,CTRL_group1_1.png,250,314,299,321,0.01171875
44,CTRL_group9_3.png,116,150,105,213,0.7265625
45,CTRL_group9_3.png,74,101,58,115,0.0234375
46,CTRL_group9_3.png,124,165,110,222,0.01953125
47,CTRL_group9_3.png,155,307,38,317,0.015625
48,CTRL_group9_3.png,102,145,77,213,0.01171875
49,CTRL_group9_3.png,0,60,316,321,0.01171875
50,CTRL_group9_3.png,269,322,315,321,0.01171875
51,CTRL_group9_3.png,-1,33,317,323,0.01171875
52,CTRL_group9_3.png,155,319,7,109,0.01171875
53,CTRL_group2_2.png,8,121,78,269,0.04296875
54,CTRL_group2_2.png,221,255,271,327,0.03515625
55,CTRL_group2_2.png,227,287,324,329,0.0234375
56,CTRL_group2_2.png,248,321,83,291,0.0234375
57,CTRL_group2_2.png,277,323,307,329,0.01953125
58,CTRL_group2_2.png,283,325,320,329,0.01953125
59,CTRL_group2_2.png,1,58,323,328,0.015625
60,CTRL_group2_2.png,271,324,99,256,0.015625
61,CTRL_group2_2.png,234,276,276,328,0.015625
62,CTRL_group2_2.png,18,180,38,303,0.015625
