,frame,xmin,xmax,ymin,ymax,score
0,CTRL_group6_3.png,1,63,26,53,0.0390625
1,CTRL_group9_3.png,116,150,105,213,0.7265625
2,CTRL_group2_2.png,8,121,78,269,0.04296875
3,CTRL_group2_2.png,221,255,271,327,0.03515625
4,CTRL_group5_6.png,75,136,111,176,0.8671875
5,CTRL_group5_6.png,69,141,69,187,0.078125
6,CTRL_group5_6.png,127,141,78,106,0.04296875
7,CTRL_group5_6.png,85,167,98,175,0.0390625
8,CTRL_group3_1.png,8,279,20,322,0.03125
9,BHVE_group5_2.png,0,20,1,23,0.1171875
10,BHVE_group5_2.png,0,24,240,320,0.0859375
11,BHVE_group5_2.png,0,24,0,10,0.078125
12,BHVE_group5_2.png,0,21,-1,47,0.07421875
13,BHVE_group5_2.png,0,36,0,22,0.0703125
14,BHVE_group5_2.png,1,13,0,62,0.0625
15,BHVE_group5_2.png,0,14,0,14,0.0625
16,BHVE_group5_2.png,3,36,0,8,0.04296875
17,BHVE_group5_2.png,-1,55,3,34,0.0390625
18,BHVE_group5_2.png,1,8,5,58,0.0390625
19,BHVE_group5_2.png,1,21,2,88,0.03515625
20,BHVE_group5_2.png,0,46,1,109,0.03515625
21,BHVE_group5_2.png,0,38,216,325,0.03125
22,CTRL_group7_5.png,39,111,154,250,0.0625
23,CTRL_group9_2.png,-1,120,1,52,0.86328125
24,CTRL_group9_2.png,35,149,-4,43,0.0390625
25,CTRL_group9_2.png,-39,136,-13,60,0.03515625
26,BHVE_group7_2.png,0,165,12,327,0.125
27,BHVE_group7_2.png,86,145,90,129,0.046875
28,CTRL_group9_1.png,70,107,58,119,0.04296875
29,CTRL_group2_4.png,52,302,211,326,0.04296875
30,CTRL_group2_4.png,270,321,310,329,0.03515625
31,CTRL_group2_4.png,9,110,53,257,0.03125
32,CTRL_group2_4.png,25,277,163,305,0.03125
33,CTRL_group6_4.png,0,46,9,64,0.10546875
34,CTRL_group6_4.png,1,26,9,57,0.05078125
35,CTRL_group6_4.png,0,8,15,63,0.046875
36,CTRL_group6_4.png,0,12,11,70,0.0390625
37,CTRL_group6_4.png,-4,85,6,69,0.03125
38,CTRL_group6_4.png,0,54,0,31,0.03125
39,CTRL_group6_4.png,1,35,0,45,0.03125
40,BHVE_group5_3.png,0,24,240,319,0.08203125
41,BHVE_group5_3.png,0,20,0,22,0.078125
42,BHVE_group5_3.png,0,24,0,10,0.0703125
43,BHVE_group5_3.png,0,14,0,13,0.0625
44,BHVE_group5_3.png,0,21,-1,47,0.05859375
45,BHVE_group5_3.png,0,12,0,64,0.05859375
46,BHVE_group5_3.png,-2,54,1,26,0.046875
47,BHVE_group5_3.png,0,35,-1,37,0.04296875
48,BHVE_group5_3.png,3,36,0,8,0.0390625
49,BHVE_group5_3.png,1,8,5,59,0.0390625
50,BHVE_group5_3.png,0,41,304,323,0.03515625
51,BHVE_group5_3.png,0,35,281,321,0.03515625
52,BHVE_group5_3.png,1,20,1,89,0.03515625
53,BHVE_group5_3.png,0,43,-2,75,0.03125
54,BHVE_group5_3.png,-1,40,0,14,0.03125
55,BHVE_group5_3.png,0,38,216,325,0.03125
56,BHVE_group2_2.png,0,21,257,347,0.08203125
57,BHVE_group2_2.png,71,182,93,155,0.0546875
58,BHVE_group2_2.png,-2,15,284,344,0.04296875
59,BHVE_group2_2.png,65,139,78,159,0.03515625
60,BHVE_group2_2.png,0,73,19,44,0.03125
61,BHVE_group2_3.png,188,224,206,297,0.84375
62,BHVE_group2_3.png,0,20,273,346,0.08203125
63,CTRL_group7_2.png,6,49,34,86,0.04296875
64,CTRL_group7_2.png,1,96,30,243,0.03125
65,CTRL_group9_5.png,71,102,58,111,0.5
66,CTRL_group9_5.png,164,203,152,189,0.05078125
67,CTRL_group9_5.png,11,313,109,319,0.03515625
68,CTRL_group7_1.png,3,54,312,317,0.03125
69,BHVE_group5_1.png,0,20,1,23,0.08203125
70,BHVE_group5_1.png,0,23,239,320,0.078125
71,BHVE_group5_1.png,0,21,-1,47,0.0703125
72,BHVE_group5_1.png,0,24,0,10,0.05859375
73,BHVE_group5_1.png,0,13,0,62,0.05859375
74,BHVE_group5_1.png,0,14,0,14,0.05078125
75,BHVE_group5_1.png,-2,55,1,26,0.04296875
76,BHVE_group5_1.png,0,35,-1,37,0.04296875
77,BHVE_group5_1.png,1,8,5,58,0.0390625
78,BHVE_group5_1.png,1,20,2,89,0.03125
79,BHVE_group5_1.png,0,43,-2,75,0.03125
80,BHVE_group5_1.png,110,208,93,237,0.03125
81,BHVE_group1_2.png,106,207,86,268,0.046875
82,BHVE_group1_2.png,300,328,103,221,0.03125
83,BHVE_group6_2.png,0,91,38,264,0.04296875
84,BHVE_group6_2.png,2,292,127,317,0.04296875
85,BHVE_group6_3.png,-2,85,62,265,0.03515625
86,CTRL_group9_4.png,71,103,58,111,0.43359375
87,CTRL_group9_4.png,245,320,306,323,0.234375
88,CTRL_group9_4.png,243,290,311,321,0.109375
89,CTRL_group9_4.png,274,316,310,322,0.09765625
90,CTRL_group9_4.png,239,267,306,321,0.09375
91,CTRL_group9_4.png,227,270,313,321,0.07421875
92,CTRL_group9_4.png,222,273,305,322,0.0703125
93,CTRL_group9_4.png,289,317,305,321,0.0703125
94,CTRL_group9_4.png,193,302,307,321,0.03515625
95,CTRL_group6_2.png,95,152,38,207,0.0625
96,BHVE_group8_3.png,170,211,88,225,0.03125
97,CTRL_group2_1.png,17,129,25,172,0.03515625
98,BHVE_group8_1.png,1,35,28,81,0.03125
99,BHVE_group3_3.png,2,100,53,280,0.05078125
100,BHVE_group7_3.png,0,165,14,333,0.03125
101,CTRL_group5_4.png,64,140,123,186,0.89453125
102,CTRL_group5_4.png,73,144,134,250,0.0546875
103,BHVE_group9_1.png,59,309,143,306,0.03515625
104,BHVE_group8_2.png,74,132,37,189,0.1171875
105,BHVE_group8_2.png,2,36,27,78,0.03515625
106,CTRL_group3_3.png,277,313,253,319,0.8671875
107,CTRL_group3_3.png,156,313,15,172,0.22265625
108,CTRL_group8_3.png,85,198,78,206,0.07421875
109,CTRL_group8_3.png,5,298,203,313,0.03515625
110,CTRL_group2_3.png,108,282,130,178,0.03515625
111,CTRL_group2_3.png,0,128,46,308,0.03515625
112,CTRL_group8_1.png,2,310,133,312,0.1328125
113,CTRL_group8_1.png,60,222,86,138,0.0703125
114,CTRL_group8_4.png,89,154,20,157,0.18359375
115,CTRL_group8_4.png,1,303,135,307,0.1328125
116,CTRL_group8_4.png,113,246,7,162,0.03125
117,BHVE_group2_1.png,0,21,258,347,0.0703125
118,BHVE_group2_1.png,5,131,59,332,0.03515625
119,BHVE_group2_1.png,-2,15,282,344,0.03125
120,BHVE_group2_1.png,1,76,19,43,0.03125
121,BHVE_group2_1.png,108,278,128,251,0.03125
122,CTRL_group7_4.png,6,50,33,88,0.0390625
123,BHVE_group1_3.png,300,328,101,215,0.03125
