,frame,xmin,xmax,ymin,ymax,score
0,CTRL_group3_4.png,256,317,313,319,0.02734375
1,CTRL_group3_4.png,257,319,300,319,0.015625
2,CTRL_group3_4.png,1,35,17,77,0.015625
3,CTRL_group3_4.png,288,319,311,320,0.015625
4,CTRL_group3_4.png,245,315,310,320,0.015625
5,CTRL_group3_4.png,307,314,283,323,0.015625
6,CTRL_group3_4.png,295,314,301,318,0.015625
7,CTRL_group3_4.png,36,300,0,301,0.015625
8,CTRL_group3_4.png,4,185,-6,320,0.01171875
9,CTRL_group3_4.png,250,297,305,318,0.01171875
10,CTRL_group3_4.png,234,298,314,319,0.01171875
11,CTRL_group3_4.png,21,229,130,281,0.01171875
12,CTRL_group3_4.png,0,36,26,116,0.01171875
13,CTRL_group3_4.png,3,69,315,319,0.01171875
14,CTRL_group3_4.png,0,88,35,284,0.01171875
15,CTRL_group3_4.png,171,309,20,225,0.01171875
16,CTRL_group3_4.png,309,314,261,320,0.01171875
17,CTRL_group3_4.png,56,316,3,97,0.01171875
18,CTRL_group3_4.png,309,314,204,270,0.0078125
19,CTRL_group3_4.png,36,389,0,166,0.0078125
20,CTRL_group3_4.png,-3,95,3,54,0.0078125
21,CTRL_group3_4.png,39,290,219,318,0.0078125
22,CTRL_group3_4.png,310,314,140,219,0.0078125
23,CTRL_group3_4.png,-2,43,0,26,0.0078125
24,CTRL_group3_4.png,310,314,235,304,0.0078125
25,CTRL_group6_3.png,1,63,26,53,0.0390625
26,CTRL_group6_3.png,246,330,20,61,0.0234375
27,CTRL_group6_3.png,101,223,217,322,0.01953125
28,CTRL_group6_3.png,291,334,326,334,0.015625
29,CTRL_group6_3.png,307,330,314,334,0.015625
30,CTRL_group6_3.png,2,58,113,261,0.015625
31,CTRL_group6_3.png,1,49,8,51,0.015625
32,CTRL_group6_3.png,309,330,143,240,0.015625
33,CTRL_group6_3.png,0,25,310,334,0.01171875
34,CTRL_group6_3.png,1,69,14,66,0.01171875
35,CTRL_group6_3.png,324,329,171,252,0.01171875
36,CTRL_group6_3.png,17,190,295,337,0.01171875
37,CTRL_group6_3.png,286,332,315,335,0.01171875
38,CTRL_group6_3.png,2,59,328,334,0.01171875
39,CTRL_group6_3.png,-1,28,328,337,0.01171875
40,CTRL_group6_3.png,7,106,294,333,0.01171875
41,CTRL_group6_3.png,262,325,329,334,0.01171875
42,CTRL_group6_3.png,292,334,141,293,0.01171875
43,CTRL_group6_3.png,0,32,291,336,0.0078125
44,CTRL_group6_3.png,4,217,0,296,0.0078125
45,CTRL_group6_3.png,0,64,284,333,0.0078125
46,CTRL_group6_3.png,84,220,273,334,0.0078125
47,CTRL_group6_3.png,0,18,276,339,0.0078125
48,CTRL_group6_3.png,321,329,298,339,0.0078125
49,CTRL_group6_3.png,257,328,325,335,0.0078125
50,CTRL_group1_1.png,0,98,50,281,0.01953125
51,CTRL_group1_1.png,8,293,127,316,0.015625
52,CTRL_group1_1.png,0,14,305,321,0.01171875
53,CTRL_group1_1.png,279,324,314,321,0.01171875
54,CTRL_group1_1.png,0,219,29,329,0.01171875
55,CTRL_group1_1.png,260,314,315,321,0.01171875
56,CTRL_group1_1.png,0,10,292,317,0.01171875
57,CTRL_group1_1.png,250,314,299,321,0.01171875
58,CTRL_group1_1.png,130,365,213,361,0.0078125
59,CTRL_group1_1.png,-18,131,121,326,0.0078125
60,CTRL_group1_1.png,145,265,31,208,0.0078125
61,CTRL_group1_1.png,64,285,11,214,0.0078125
